ir_quality,temperature,humidity,methane,Smoke
93,95,4,68,1
50,53,2,49,1
35,48,11,11,0
12,27,85,2,0
82,60,3,64,1
96,94,2,43,1
66,81,4,57,1
76,85,3,47,1
85,54,5,44,1
58,63,3,68,1
46,37,17,8,0
88,76,5,59,1
47,50,27,14,0
65,97,4,70,1
40,43,22,7,0
62,59,3,69,1
42,34,14,13,0
87,81,4,60,1
36,45,16,10,0
41,42,34,13,0
41,49,28,8,0
72,76,4,44,1
35,43,33,8,0
79,58,5,57,1
61,79,3,70,1
46,38,15,10,0
35,32,15,8,0
78,99,3,69,1
62,54,3,61,1
14,20,77,2,0
38,44,33,14,0
38,45,27,10,0
74,82,2,58,1
97,63,4,66,1
64,52,3,42,1
57,74,2,56,1
68,82,3,50,1
79,84,2,69,1
92,80,3,66,1
64,62,4,42,1
49,48,18,14,0
44,36,25,8,0
12,23,70,7,0
35,37,10,15,0
13,27,79,7,0
40,40,27,8,0
60,58,2,44,1
72,73,3,69,1
57,63,2,61,1
95,77,3,50,1
42,33,33,13,0
76,58,3,62,1
59,75,4,57,1
49,49,10,9,0
97,92,2,40,1
59,54,3,52,1
68,62,4,51,1
35,37,31,9,0
43,50,34,12,0
68,72,3,65,1
93,72,2,48,1
54,64,2,45,1
38,34,12,7,0
60,59,2,47,1
66,86,4,44,1
68,78,2,40,1
41,49,21,11,0
41,39,28,7,0
73,77,5,68,1
48,47,21,12,0
35,44,35,14,0
46,50,18,11,0
82,86,3,43,1
84,78,2,69,1
81,70,4,60,1
43,41,12,12,0
65,57,3,56,1
48,49,21,9,0
41,43,15,14,0
68,60,4,52,1
6,23,65,0,0
86,80,3,67,1
80,61,5,49,1
82,81,4,59,1
47,40,28,10,0
14,20,54,1,0
55,53,2,59,1
66,63,5,46,1
86,70,4,58,1
58,84,5,60,1
97,79,4,57,1
5,20,76,1,0
56,58,2,69,1
43,32,13,10,0
90,68,4,54,1
82,60,2,68,1
49,35,20,12,0
42,45,34,9,0
67,53,4,65,1
94,86,5,45,1
39,41,15,11,0
81,82,4,67,1
97,55,5,44,1
48,41,35,11,0
59,64,3,70,1
0,24,81,0,0
72,81,4,44,1
78,87,4,67,1
43,44,24,8,0
84,58,2,66,1
94,59,5,68,1
5,27,85,0,0
55,81,3,44,1
58,93,3,64,1
38,41,22,12,0
46,39,17,7,0
35,43,29,9,0
100,81,4,46,1
99,99,2,63,1
76,71,2,41,1
89,62,4,58,1
66,78,4,51,1
82,80,2,60,1
74,63,3,56,1
46,44,34,7,0
87,99,3,43,1
67,98,5,41,1
98,100,5,47,1
64,62,4,59,1
36,45,24,15,0
15,25,66,6,0
47,45,16,12,0
56,72,3,46,1
64,79,5,56,1
36,43,27,10,0
85,61,5,68,1
4,27,53,2,0
38,36,22,10,0
13,22,85,1,0
83,51,3,43,1
69,52,5,61,1
87,72,2,53,1
38,49,26,13,0
48,31,12,14,0
80,82,3,66,1
39,41,11,10,0
40,41,24,13,0
90,51,3,46,1
56,86,5,62,1
52,84,3,56,1
70,85,2,59,1
59,60,3,67,1
68,56,5,61,1
60,72,5,48,1
37,42,18,15,0
6,21,58,5,0
48,33,24,8,0
60,85,5,69,1
2,21,69,2,0
0,23,78,4,0
67,74,3,40,1
91,62,2,59,1
53,91,3,51,1
42,42,10,8,0
78,88,4,47,1
86,88,4,70,1
49,36,29,15,0
96,82,5,49,1
2,28,57,3,0
45,42,29,8,0
46,46,16,7,0
53,51,5,65,1
36,33,31,10,0
37,33,24,14,0
41,32,13,9,0
42,33,13,9,0
56,68,2,46,1
76,60,3,60,1
71,79,3,69,1
40,42,18,7,0
52,85,3,69,1
81,95,4,68,1
94,64,5,53,1
49,37,33,9,0
43,42,12,9,0
42,48,26,12,0
47,50,31,11,0
95,64,5,56,1
48,38,27,10,0
11,23,62,4,0
55,98,4,45,1
42,40,15,13,0
82,68,4,68,1
63,74,2,70,1
64,71,3,70,1
6,27,78,5,0
43,33,26,15,0
75,75,3,43,1
48,37,31,15,0
68,74,5,45,1
43,47,28,8,0
53,83,2,66,1
47,36,21,11,0
45,31,16,13,0
61,53,3,56,1
92,81,5,45,1
42,48,13,15,0
74,87,3,64,1
78,57,3,47,1
50,93,5,56,1
50,51,2,66,1
72,93,2,65,1
80,92,3,41,1
52,66,2,48,1
15,28,67,3,0
69,64,5,58,1
76,77,5,57,1
91,83,3,50,1
65,53,4,41,1
47,35,21,7,0
3,23,61,5,0
67,99,3,51,1
84,74,2,59,1
48,40,15,12,0
60,89,3,41,1
74,89,2,59,1
54,95,3,65,1
39,31,14,9,0
88,89,3,68,1
46,50,24,15,0
15,30,54,0,0
54,90,4,46,1
36,47,32,12,0
72,89,5,40,1
14,20,68,4,0
91,85,2,56,1
37,32,11,11,0
79,63,5,51,1
9,28,52,5,0
91,82,2,68,1
86,71,4,68,1
38,38,26,8,0
100,78,4,67,1
54,96,5,46,1
37,49,29,8,0
49,43,28,15,0
88,58,4,65,1
56,86,2,51,1
89,56,2,47,1
74,65,5,51,1
69,57,2,41,1
35,43,32,8,0
90,84,3,42,1
82,94,3,62,1
73,76,2,65,1
54,84,3,40,1
54,90,3,65,1
96,56,2,45,1
89,57,5,55,1
58,53,2,66,1
71,74,3,47,1
100,51,5,57,1
2,21,85,7,0
37,44,26,14,0
62,61,2,41,1
64,62,4,67,1
91,100,5,53,1
60,89,3,68,1
11,25,82,7,0
92,64,5,64,1
36,33,10,8,0
80,82,3,41,1
15,21,63,2,0
85,88,5,57,1
63,94,5,43,1
73,64,2,45,1
63,93,4,46,1
82,97,4,61,1
73,82,3,61,1
37,34,14,11,0
35,39,27,11,0
36,49,35,9,0
38,40,32,15,0
93,60,4,68,1
42,44,33,10,0
100,66,5,61,1
66,72,5,61,1
37,31,30,8,0
3,24,61,7,0
67,75,3,50,1
84,91,2,60,1
97,96,3,54,1
67,67,4,63,1
36,34,15,11,0
8,25,56,7,0
93,98,2,61,1
63,78,5,40,1
47,34,31,13,0
48,45,33,14,0
87,77,4,69,1
93,70,3,66,1
99,66,4,60,1
68,91,5,59,1
88,91,4,51,1
46,41,13,7,0
42,37,32,14,0
77,68,4,52,1
6,30,80,6,0
48,40,27,10,0
91,72,5,68,1
57,72,3,47,1
96,60,4,68,1
53,84,4,52,1
39,34,35,15,0
89,99,3,40,1
57,97,4,41,1
52,85,3,47,1
61,80,3,53,1
59,64,3,53,1
54,78,2,58,1
41,33,32,9,0
93,74,5,42,1
60,94,3,40,1
5,26,67,7,0
93,92,4,51,1
38,35,15,15,0
92,77,3,66,1
35,34,18,14,0
48,37,15,12,0
63,70,4,59,1
56,79,4,57,1
82,80,2,48,1
11,27,58,7,0
48,43,18,11,0
86,72,5,53,1
44,45,31,9,0
43,44,14,14,0
50,90,2,41,1
82,81,2,41,1
65,55,5,51,1
81,80,2,45,1
45,36,18,15,0
90,85,5,67,1
61,76,3,46,1
9,25,54,2,0
35,38,33,14,0
83,93,5,46,1
62,55,2,57,1
15,28,80,4,0
44,31,33,7,0
4,22,72,0,0
84,95,4,64,1
81,97,2,68,1
36,38,22,11,0
55,90,3,59,1
1,20,72,3,0
77,54,5,43,1
36,38,33,14,0
64,80,5,49,1
96,58,2,52,1
41,45,35,10,0
0,20,54,6,0
51,90,5,61,1
60,66,3,62,1
5,25,75,6,0
2,25,70,2,0
54,71,5,50,1
86,78,5,67,1
38,38,11,8,0
94,98,4,69,1
39,32,29,7,0
35,46,33,15,0
47,48,23,7,0
85,89,2,51,1
83,76,5,65,1
89,83,4,56,1
70,96,5,64,1
9,28,79,2,0
5,24,50,4,0
64,76,3,54,1
87,55,2,45,1
84,71,3,47,1
71,79,5,47,1
3,30,54,4,0
64,96,5,68,1
39,46,31,12,0
99,76,5,55,1
78,78,3,63,1
68,65,3,63,1
75,67,3,60,1
65,87,2,66,1
11,20,62,7,0
57,88,5,43,1
43,40,31,15,0
42,50,24,13,0
92,60,4,45,1
39,35,29,15,0
47,48,19,14,0
69,93,4,56,1
3,22,54,1,0
91,53,2,52,1
7,21,57,0,0
61,65,4,40,1
85,87,5,65,1
35,46,12,15,0
65,65,2,43,1
50,59,4,54,1
99,83,2,49,1
67,58,2,51,1
70,89,5,40,1
1,27,76,2,0
71,60,4,57,1
6,25,55,2,0
75,98,3,70,1
55,58,2,42,1
15,22,63,4,0
0,25,51,3,0
48,32,14,11,0
35,45,28,15,0
68,53,5,46,1
6,24,77,0,0
6,30,69,5,0
68,67,5,40,1
94,99,3,55,1
86,73,5,45,1
80,94,4,45,1
43,48,23,12,0
58,65,4,69,1
39,49,21,13,0
89,79,3,66,1
53,55,5,53,1
55,90,5,61,1
82,75,5,46,1
42,37,23,14,0
4,28,60,1,0
62,51,5,69,1
2,25,83,7,0
39,48,18,14,0
37,44,35,10,0
50,63,2,67,1
79,67,3,70,1
63,63,3,47,1
52,51,2,45,1
78,93,4,50,1
86,83,3,57,1
75,78,3,63,1
85,70,3,60,1
71,89,3,46,1
1,20,69,2,0
14,21,62,3,0
12,24,75,0,0
67,51,5,41,1
44,31,26,13,0
1,29,52,1,0
73,66,2,61,1
47,41,18,15,0
58,83,5,52,1
52,97,4,58,1
64,91,2,50,1
3,20,85,5,0
7,29,74,5,0
37,36,16,11,0
87,82,5,53,1
86,96,5,50,1
44,34,19,8,0
91,57,4,40,1
88,81,2,65,1
36,34,33,8,0
70,91,3,51,1
89,58,5,42,1
48,36,14,11,0
43,36,28,10,0
38,31,14,12,0
95,94,5,46,1
100,86,2,50,1
51,81,2,50,1
44,40,30,11,0
6,20,61,3,0
83,82,5,63,1
56,99,2,60,1
54,83,5,61,1
14,26,53,0,0
8,24,83,2,0
68,78,2,61,1
38,49,21,7,0
64,76,3,56,1
71,84,2,43,1
37,49,19,9,0
78,94,3,45,1
8,27,63,1,0
3,26,80,4,0
65,93,3,47,1
12,30,72,4,0
100,97,4,66,1
50,82,3,53,1
67,65,3,41,1
77,73,5,58,1
0,27,83,4,0
39,35,21,10,0
55,67,2,66,1
98,63,2,59,1
60,100,5,49,1
55,87,2,67,1
95,86,2,53,1
44,37,18,8,0
74,72,2,58,1
50,60,3,50,1
50,51,4,49,1
79,86,3,44,1
51,54,3,47,1
65,63,5,44,1
63,57,4,53,1
85,67,3,53,1
71,96,2,48,1
41,36,12,10,0
68,57,5,46,1
14,20,74,0,0
76,94,3,44,1
5,27,64,6,0
10,22,58,0,0
8,22,56,7,0
80,72,3,56,1
35,50,24,10,0
95,84,3,55,1
2,29,79,3,0
64,94,2,66,1
74,84,2,56,1
1,23,84,1,0
88,55,4,61,1
81,95,4,45,1
71,60,5,61,1
72,62,5,66,1
51,71,3,57,1
48,49,20,12,0
71,96,3,63,1
100,63,5,63,1
0,27,66,7,0
37,40,14,7,0
56,98,2,63,1
92,87,2,44,1
97,93,2,56,1
49,48,26,13,0
35,46,17,13,0
54,88,2,63,1
2,29,74,3,0
90,72,3,45,1
65,76,3,43,1
66,66,3,45,1
78,60,5,64,1
1,29,58,4,0
41,31,17,8,0
84,54,3,67,1
12,26,51,2,0
67,96,5,69,1
5,29,83,2,0
49,31,33,11,0
100,97,4,66,1
96,54,4,56,1
59,99,3,56,1
74,57,3,51,1
96,82,3,59,1
59,52,3,54,1
77,99,3,47,1
35,39,33,12,0
61,79,3,69,1
84,79,2,46,1
85,70,5,56,1
93,91,5,56,1
44,42,19,12,0
100,91,3,48,1
10,24,78,1,0
2,26,55,5,0
42,50,23,12,0
75,63,3,41,1
58,87,4,61,1
71,57,5,53,1
10,23,80,2,0
36,41,22,10,0
89,92,4,57,1
70,63,4,56,1
14,30,64,2,0
66,82,4,56,1
94,89,2,60,1
76,57,3,44,1
59,90,5,65,1
82,80,5,67,1
89,68,5,52,1
11,21,83,3,0
95,72,3,64,1
81,75,2,54,1
58,83,5,46,1
77,85,2,62,1
65,98,2,64,1
59,79,5,63,1
93,96,2,57,1
2,25,52,5,0
64,64,2,62,1
94,82,2,69,1
51,72,3,50,1
80,59,2,52,1
37,37,19,14,0
4,27,64,3,0
37,45,19,9,0
93,99,3,57,1
59,95,5,40,1
42,43,24,14,0
10,25,75,1,0
55,80,5,69,1
46,31,15,12,0
44,32,24,9,0
46,42,30,13,0
82,93,2,56,1
48,31,18,13,0
72,78,4,57,1
55,93,5,62,1
89,53,2,48,1
2,27,61,6,0
75,66,3,60,1
58,71,4,50,1
98,65,3,52,1
59,63,4,52,1
9,23,59,5,0
80,84,3,52,1
57,51,3,50,1
91,70,2,65,1
65,75,4,60,1
45,50,32,11,0
76,87,2,43,1
4,26,54,3,0
13,26,76,7,0
52,58,3,65,1
82,81,2,43,1
11,20,85,3,0
87,88,5,68,1
86,98,2,41,1
89,73,5,45,1
44,41,12,9,0
61,94,4,42,1
50,69,2,65,1
39,37,20,11,0
15,28,53,0,0
38,37,32,12,0
57,88,4,50,1
61,80,3,56,1
86,63,2,69,1
39,39,23,8,0
61,70,2,44,1
99,77,2,58,1
54,83,3,47,1
91,81,4,68,1
76,78,4,65,1
2,28,78,1,0
54,72,2,46,1
47,45,30,14,0
63,65,4,60,1
